med_mass_1 med_mass_2 med_lum_dist log_D_AB
1.186305111024483594e+01 1.006971353080847287e+01 8.724322504453170950e+02 -1.603838166178822888e+01
2.223728637987387060e+02 1.620599569118334102e+02 5.780262259400603216e+04 2.928190800190165533e+00
3.535646501481025439e+01 3.192785831097500449e+01 6.477844592041312353e+03 -1.762727182231802914e+00
1.514416269447131569e+01 1.465723539780673512e+01 9.164790305969953579e+02 -1.121221584590832165e+01
3.856228224782191205e+01 2.895460801886581237e+01 1.460246292281773458e+04 -4.567064053808056912e+00
2.311944114738511757e+01 1.571139714664845677e+01 7.844943104622359897e+03 -6.015683933033319164e+00
1.694822676772385819e+02 1.281899876709923660e+02 6.143262755753015517e+04 1.985626350712724530e+00
1.043564616375449461e+01 1.014341162153498388e+01 9.961841325057703216e+02 -1.832837705797953021e+01
9.944179095669021251e+00 9.350161853594430639e+00 8.867389183729557089e+02 -2.139715768828418163e+01
9.080986950730231655e+00 6.883673449484987827e+00 9.365967071440400105e+02 -2.332984112752063055e+01
9.288984765545578171e+00 7.404410546560333373e+00 9.014121929142052068e+02 -2.251708317635947054e+01
3.026389906181952938e+01 2.331622217995075985e+01 1.576665148569906160e+04 -6.513126796109769856e+00
1.008649955314685798e+01 9.473612134498562654e+00 9.161015038934901895e+02 -2.007635273025170974e+01
1.189841413166736039e+01 1.004032313627942052e+01 9.878508334387004197e+02 -1.436524376328898356e+01
1.662424153391059534e+01 1.317478151526713859e+01 7.766730161867824791e+03 -1.265188957345149312e+01
9.474388935327475281e+00 8.911895838667778236e+00 7.586583404865264129e+02 -2.464334029748885868e+01
3.044593077596208985e+01 2.682425961299450634e+01 1.324568661183646145e+04 -6.786428449497677207e+00
1.761988463517496584e+01 1.339451190275778281e+01 1.261668999992892168e+03 -5.603175526438002763e+00
1.010853062139031699e+01 9.144401133281689908e+00 8.324330111183695635e+02 -2.055352345075192488e+01
1.414614290918455985e+01 1.243629079469617871e+01 4.753311224036337990e+03 -1.530523666986192843e+01
1.172775436473164916e+02 8.721740294024527884e+01 2.975658881433344141e+04 9.587288520560086624e-01
1.706886239706713582e+01 1.338706556620130073e+01 7.200542727618542813e+03 -1.169825538235859241e+01
1.030158918592036699e+01 9.277986029040853566e+00 9.174143072701572237e+02 -1.975653258198497042e+01
7.586795222218604806e+00 6.806721516548289941e+00 8.178379722946605170e+02 -3.375762838137373478e+01
1.926895719434357801e+01 1.303649017976615632e+01 4.381152473575000840e+03 -7.083145375672323496e+00
9.912440326601849705e+00 7.834621915487687716e+00 8.654363573942257517e+02 -2.113706533725776637e+01
3.561856032821923179e+01 2.974284100230091354e+01 2.129367389862767959e+04 -6.791425822298759130e+00
1.400921257915152580e+02 9.725948528103126023e+01 4.635937822937862802e+04 1.260925851648316609e+00
1.465574057877398495e+01 1.094793142150490084e+01 4.886665633589669596e+03 -1.447020874600603690e+01
3.121494784635619624e+01 1.488666379029387876e+01 5.638017474485788625e+03 -9.636459439113700398e-01
8.743046144320889113e+00 7.614579832279025240e+00 8.165826011488973108e+02 -2.634888735724464581e+01
7.843628887615126999e+00 7.032298943045799611e+00 9.012652633679656446e+02 -3.121531471152697534e+01
3.819473774701849322e+01 1.682654710838648526e+01 1.043263770749227842e+04 -1.196564467276321153e+00
9.270481110357877697e+00 8.474622685390508892e+00 8.755541649897396610e+02 -2.325059131296058723e+01
1.025078801356689162e+01 9.828991547508744375e+00 8.033804261184779989e+02 -2.039036055168292094e+01
8.473714474982081413e+00 7.610404529016007835e+00 7.906909027279331212e+02 -2.775639055869686089e+01
1.531614365694584912e+01 1.106960456597014009e+01 5.438175264685660295e+03 -1.399961142839149986e+01
9.892889102960840120e+00 8.974746539110643795e+00 1.029271989899770233e+03 -1.988006840919585372e+01
2.779157115400743550e+01 1.693942405785369587e+01 1.454632109135253995e+04 -7.192938588608793538e+00
3.374519510622084795e+01 2.812809377942298994e+01 1.810530587207666395e+04 -7.012177778846503173e+00
9.629534589033145409e+00 6.942029660375223621e+00 1.206283549724460272e+03 -2.087088496181891628e+01
5.662425555163467550e+01 3.422869565172764084e+01 3.950216055245808820e+04 -4.236692158078948722e+00
9.538848239123316475e+00 9.380206587685403719e+00 1.303955406225215029e+03 -2.132769856683900400e+01
4.140105117210853791e+01 3.285280416159091033e+01 2.155545883561928349e+04 -5.245003013444385687e+00
2.839898986623340349e+01 2.361216257659918227e+01 9.635009478384581598e+03 -5.981029372495274998e+00
2.984005766651512559e+01 2.383866300779407155e+01 9.287812766367129598e+02 -7.254006183270078623e-02
2.723275172584136783e+01 2.492479314170724791e+01 1.538176900258768183e+04 -8.315060535835961275e+00
9.533862640471195249e+00 6.862764129210508379e+00 9.688680720066140566e+02 -2.125696066809265972e+01
1.082419461478960265e+01 9.322415917625374249e+00 9.473810844741321944e+02 -1.725271613719003483e+01
3.032665914310186963e+02 2.415801640163777506e+02 6.654517374382309208e+04 3.913992948015138751e+00
1.653434523213095702e+02 7.112652089194818927e+01 8.160348116382327862e+04 1.845102587756734636e+00
9.904373975416969955e+00 9.049534485999858546e+00 9.250139298866854460e+02 -2.125026586991150523e+01
1.913757762445037969e+01 1.789769003234209066e+01 1.056105661069900179e+03 -5.874936944965400087e+00
9.789851831204641641e+00 9.352891525079824575e+00 1.167558407106677805e+03 -2.005987745827470903e+01
1.567529214601601772e+01 1.363356818271659421e+01 4.018547920067977429e+03 -1.144402212710366840e+01
1.046972365938645133e+01 7.338275294965288076e+00 1.339790331048355256e+03 -1.828769441180047295e+01
2.757454989512497434e+01 2.406762090799811915e+01 1.494092905926252752e+04 -7.548161481888584490e+00
