med_mass_1 med_mass_2 med_lum_dist p_PopIII
1.656093024070925139e+02 1.444794999396301591e+02 3.149005399168495933e+04 7.862623291015624627e-01
2.601390684797592030e+02 1.582227359309097210e+02 7.934424299602443352e+04 8.975112304687500320e-01
7.196698206324538205e+01 3.262059687234532390e+01 2.425030071381178277e+04 8.905379638671875320e-01
1.347390661631023931e+02 9.118011846798414410e+01 2.432300761755219719e+04 9.319812622070312580e-01
1.977815166747252817e+02 1.686248046473487534e+02 3.872249822618170583e+04 8.872827758789062491e-01
2.741262639228518765e+02 2.198160506797689777e+02 3.093259094988946526e+04 9.569452514648437713e-01
2.113495144586037782e+02 1.628257133723362813e+02 7.144293254702913691e+04 8.757500000000000284e-01
1.481763579702061975e+02 7.690215107203223965e+01 3.502757895601962082e+04 9.141447143554687349e-01
8.077394089420640455e+01 6.060720338475154279e+01 2.241194998157274313e+04 6.216898193359374769e-01
2.063796396316406856e+02 1.635897118478872585e+02 6.866994888765648648e+04 8.560612792968750329e-01
2.012757252020986130e+02 9.386867234746189581e+01 4.852434029325937445e+04 8.522833251953124689e-01
9.441542404075249806e+01 6.707637648578945289e+01 8.079322650705241358e+03 9.456664428710938042e-01
5.397816244876172931e+01 2.413523407547754118e+01 1.256778853756914395e+04 8.401156005859374831e-01
2.187811795118067835e+02 2.028238448904765505e+02 2.538790275764949911e+04 9.509762573242187544e-01
2.108468000830989695e+02 1.662293888391753285e+02 5.555052175306066056e+04 8.860662231445312065e-01
3.536729493389306072e+02 2.239178588434930930e+02 1.082007283022745105e+05 8.443928222656249538e-01
3.027622060831148474e+02 2.152148349115587109e+02 6.213992792873013241e+04 9.277264404296875488e-01
1.708110302020249662e+02 1.374851895945150773e+02 2.717742121189417230e+04 9.109569091796875240e-01
1.507909454689861377e+02 6.877679222021055239e+01 3.623600604571614531e+04 8.675073242187499867e-01
1.970542753120651867e+02 1.301622057271814015e+02 3.514859143804124324e+04 9.695377807617187038e-01
7.440263998151414171e+01 3.107561105978673766e+01 2.186865745595832777e+04 9.057060546874999840e-01
2.194031926841399525e+02 1.590335108989850710e+02 4.306728521769028157e+04 8.819077148437499680e-01
3.080655351620371221e+02 2.048361931660781465e+02 7.716327773855687701e+04 9.194215087890624805e-01
6.073113215296779117e+02 4.527041405719547811e+02 1.154786568265239766e+05 9.432599487304687003e-01
8.716757132111874284e+01 6.724408595620764117e+01 1.050984393052276755e+04 8.720140991210937331e-01
4.838609117708972462e+02 4.077522308101448516e+02 7.893334709176639444e+04 9.821949462890624538e-01
1.361732312035370001e+02 7.107209168316074965e+01 2.508296975741780261e+04 7.890306396484374485e-01
2.763033662107059172e+02 2.467788000081901032e+02 6.242594955883483635e+04 8.739726562499999796e-01
7.012541302459656833e+01 2.309226794688417073e+01 1.608118579231916920e+04 7.643590698242187509e-01
3.403500389236428418e+02 1.126968706037389012e+02 6.634161001089110505e+04 8.903395996093750320e-01
1.798580419375221595e+02 1.523623092278795070e+02 2.623580380795519886e+04 9.228158569335938033e-01
7.519878113830500865e+01 7.318660964268207181e+01 6.021807939626599364e+03 8.139104003906250107e-01
2.325115065142172455e+02 1.592706466585871112e+02 9.174302832867212419e+04 8.631243896484375178e-01
1.606774679541221644e+02 1.304335873747416485e+02 6.720366567743128689e+04 6.541686401367187154e-01
1.919751088867179476e+02 1.240295926857667155e+02 3.064832782824918831e+04 9.766842041015625364e-01
2.528753033254322702e+02 2.004396880227388920e+02 4.699069392626857734e+04 8.637770996093749876e-01
2.061605551011717239e+02 1.767582551795455856e+02 4.280435736552465823e+04 8.217277832031250062e-01
2.511898287468815170e+02 1.880048684482183035e+02 7.561753084509137261e+04 9.019294433593749716e-01
2.267976687940970919e+02 2.049463592255706601e+02 4.407421960340124497e+04 8.909310302734374520e-01
3.274433211461989117e+02 1.846820746351386049e+02 7.624278739051136654e+04 9.031187744140625195e-01
3.884635008687404252e+02 3.267849583955513708e+02 6.037595811948956543e+04 9.545811767578125107e-01
3.974801082288508951e+02 2.944722192461265422e+02 8.754997334616087028e+04 9.113591308593750329e-01
2.785358444117981094e+02 1.818954687260147125e+02 4.729750964442759869e+04 9.296581420898437642e-01
2.502651707384646329e+02 1.881748244775335479e+02 6.327701886176901462e+04 9.157551879882812607e-01
2.760574397076322839e+02 2.148982676080192675e+02 4.222095255224818538e+04 9.424508056640624742e-01
2.045075002958700452e+02 1.838924991565846767e+02 8.241725931225670502e+04 8.430397949218749742e-01
4.043396505769044325e+02 3.537694948002093724e+02 8.210251870175596559e+04 9.689506835937500284e-01
2.577391286026092416e+02 2.394427180646006263e+02 5.179071097788860061e+04 8.868143310546875435e-01
3.541188137067083517e+02 2.548623950243693628e+02 9.758031166937017406e+04 8.910585937499999609e-01
2.089357597563727893e+02 1.372294302621114070e+02 5.177997305765692727e+04 8.743597412109375133e-01
1.364616796359543969e+02 1.236130549902722606e+02 2.149661613969629980e+04 8.592587890624999725e-01
6.491087948924220541e+01 3.445474922935447637e+01 1.550503310285853331e+04 9.348570556640625195e-01
1.370077830841933348e+02 1.286427530306721110e+02 3.440285134940010903e+04 7.723475341796874893e-01
5.516234282288316138e+01 1.227583198022828626e+01 3.890333320812393140e+03 2.599077453613281019e-01
6.905974008032239908e+01 5.662684002089834223e+01 7.291741854646301363e+03 8.427968139648437385e-01
2.668083253252103759e+02 2.369612264382403737e+02 5.376925327612966066e+04 8.784033203125000133e-01
2.630870536276422627e+02 1.957980905896066304e+02 6.668856633537169546e+04 9.382475585937499751e-01
1.916533615734762179e+02 1.087258444657498444e+02 3.018930878254432537e+04 9.809460449218749822e-01
9.788518212114206563e+01 9.035176294252909202e+01 1.202673628151815137e+04 9.340625000000000178e-01
6.360733802837830808e+01 2.823297095378447708e+01 1.571373540718760705e+04 9.110819702148437171e-01
9.942029988329493051e+01 4.430319691718442243e+01 3.208565546300392452e+04 8.164298095703125258e-01
9.443116064132379961e+01 6.516645735442264709e+01 2.269529745334193285e+04 7.210891113281250320e-01
3.840658555753168457e+02 2.914217267934910751e+02 6.256313938917489577e+04 9.383186035156250160e-01
3.460700570948316681e+02 3.038140403899012654e+02 6.319376384221119224e+04 9.112841186523437109e-01
5.278240201858710634e+01 4.723257390106162035e+01 2.338040701312118927e+03 8.229628906250000542e-01
3.726271847177973768e+02 2.628047757871575527e+02 7.405724212049663765e+04 9.477586669921874707e-01
1.537530090729471794e+02 1.063291609267363498e+02 3.079511557093138254e+04 9.226220703124999867e-01
5.584612522994395931e+02 3.310332060290003255e+02 1.238851133727042907e+05 8.084026489257812864e-01
4.829571949430267637e+02 3.589119216414908351e+02 1.050659495586163976e+05 8.836544189453124920e-01
1.734441267885702871e+02 1.069878314774681201e+02 2.165615974010717036e+04 9.479729614257812464e-01
1.582126051427139259e+02 1.196078219382270333e+02 3.066893400794152694e+04 8.801097412109375462e-01
2.353343563358166932e+02 1.825761356507067603e+02 5.634770559768458043e+04 8.920866088867187571e-01
5.157382919441589593e+02 3.840957493386949864e+02 8.804780852331934148e+04 9.733535156250000542e-01
2.414664865920441912e+02 1.920290882804050341e+02 8.765971011861031002e+04 9.259036865234374636e-01
2.413318029993464506e+02 1.991140235294191143e+02 9.069368156658556836e+04 9.101643676757812385e-01
2.238018992217459129e+02 1.691779330202733149e+02 4.331288851391538628e+04 8.948222045898437393e-01
3.719995728389284295e+02 3.298153575739619328e+02 8.451671671007841360e+04 9.486350708007812438e-01
5.491450416390152611e+01 4.740282273779460809e+01 8.991389498806933261e+03 6.076595458984375142e-01
5.180530516515397466e+01 3.597185927836773089e+01 6.669854336261500066e+03 9.012567138671875311e-01
4.016348411344381475e+02 3.582471781066355447e+02 9.495958911331561103e+04 9.415925903320312429e-01
2.513323864732122388e+02 2.241095954336361729e+02 4.862609984935285320e+04 9.218361816406249742e-01
2.470495782493451316e+02 6.924172789212562407e+01 4.060132338947152311e+04 7.359747924804687091e-01
3.275015487616788619e+02 1.199031886737202228e+02 4.656883734984389594e+04 9.647752075195312749e-01
3.294186184240134594e+02 2.596847031877900349e+02 7.378851634586823639e+04 9.212305297851562935e-01
1.195194388993881347e+02 4.372930293640013133e+01 1.722177643023001292e+04 8.655406494140625018e-01
3.926173795571496612e+02 3.395002646030409892e+02 6.973855028188748111e+04 9.625757446289062713e-01
8.939755345826331734e+01 8.274519410200936420e+01 6.969429330003222276e+03 9.441712646484374805e-01
4.095463021376131110e+02 3.108536532166424422e+02 8.843270078591525089e+04 9.242879638671874787e-01
3.192547676966018457e+02 2.707664074240028071e+02 4.847211301922722487e+04 8.759494628906250302e-01
7.107710793497227542e+01 2.338503521685732522e+01 1.164899879718068405e+04 9.102620849609375231e-01
3.820176511607284056e+02 3.007213080995260839e+02 6.040345103752608702e+04 9.336618041992187367e-01
1.780862784756175756e+02 1.522460999194976239e+02 2.677005012245393300e+04 9.063747558593749920e-01
2.562175590030322496e+02 1.808258169658173529e+02 6.287156766014492314e+04 9.156088867187499591e-01
3.407687917483261799e+02 2.827818015743957289e+02 6.736717758859488822e+04 9.246907348632812385e-01
3.873463776111994434e+02 3.459047767822409014e+02 5.472955821013292007e+04 9.641241455078124467e-01
2.120929294842505897e+02 1.692818754044601519e+02 5.258103778524488007e+04 8.873448486328124885e-01
8.725896240937500181e+01 6.853718298842987622e+01 1.748817986625101548e+04 7.055319824218749813e-01
5.412753596632102244e+02 3.661473048794842953e+02 8.182522018033778295e+04 9.776823730468749973e-01
2.854121776474079297e+02 2.209665050314596897e+02 6.031919717485496221e+04 9.382322998046874751e-01
2.487099845926357773e+02 2.054379895784555004e+02 3.809074927413636760e+04 8.818883056640625107e-01
1.518984848922978586e+02 1.302199545498677935e+02 3.491482480506208958e+04 8.326471557617187713e-01
8.149433919021338113e+01 6.080004052140692039e+01 6.340625475979360999e+03 8.814092407226562509e-01
1.267773362394097063e+02 9.941412294858743337e+01 4.886598663472965563e+04 5.208576049804687358e-01
2.968640073048765089e+02 2.307195739868015494e+02 5.753863358876902930e+04 9.259262084960937500e-01
1.937724703343691885e+02 1.202981392974377712e+02 5.009831523636221391e+04 9.479020996093749929e-01
2.322199253801728389e+02 1.399994867433418335e+02 4.618590427451138385e+04 9.417476806640624476e-01
1.457538446451846141e+02 9.629132157437248907e+01 3.095924685321465950e+04 9.066933593749999520e-01
1.693523152878577491e+02 9.786741607101055251e+01 1.968196427910359489e+04 9.546448974609375027e-01
2.022968299043033085e+02 1.331160136031730872e+02 3.463644193783651281e+04 9.742493896484375471e-01
1.907059008580972943e+02 1.668602595068412029e+02 3.997135402477574826e+04 8.161766967773437242e-01
1.184753442782930364e+02 1.070342332170869923e+02 1.927116680586778602e+04 9.163037109374999600e-01
2.438346716340322189e+02 1.900838391329614296e+02 4.526677875752684486e+04 9.490008544921875178e-01
3.747244227970593329e+02 2.898319674814680411e+02 7.137517653252955643e+04 9.396647949218750462e-01
3.515446282170483983e+02 2.799090883890329451e+02 7.904708208705220022e+04 9.269783935546874742e-01
3.887116470714376533e+02 2.232750917244656534e+02 7.754541883523899014e+04 9.448791503906249778e-01
1.262985947496811434e+02 7.627721869925630926e+01 2.648819064982571217e+04 9.239135131835937154e-01
8.678668838108848149e+01 3.772483466371739524e+01 2.300590797088225008e+04 7.951564941406249476e-01
9.294574280360035345e+01 1.565301992513079199e+01 7.426501020466091177e+03 9.420604858398436976e-01
2.733144932088334258e+02 2.327378052600741967e+02 8.854724129736467148e+04 9.395131225585937607e-01
4.708872338030050742e+02 3.719918932073114775e+02 8.249312717842185521e+04 9.522397460937499503e-01
4.161529738216729584e+02 3.023229755191711092e+02 8.156075131287876866e+04 9.335612792968750462e-01
7.067440200535412487e+01 5.200909360089708855e+01 8.410506449096355936e+03 7.843627929687500000e-01
8.412570464744615606e+01 5.871662745358511870e+01 1.499138059337590130e+04 7.478135986328124929e-01
1.946401229354587201e+02 1.509066028358952281e+02 4.683770862958834914e+04 8.731172485351562651e-01
3.517080972327926247e+02 2.522020240320423454e+02 7.655976478501092060e+04 9.196379394531249973e-01
1.528221918846732876e+02 1.347380710335607432e+02 2.720146657628118555e+04 8.950833740234375169e-01
8.782346986719038284e+01 2.938563085908027972e+01 2.023485013557592902e+04 8.852746582031250089e-01
3.000307693393203863e+02 2.370913564158438191e+02 4.541187789809949754e+04 9.149712524414062020e-01
1.011189228886358933e+02 7.395676388114193855e+01 2.268224368779420183e+04 5.473450927734374583e-01
1.240413392984226562e+02 1.011956977273829068e+02 2.122227077838318655e+04 9.314420166015624503e-01
7.033592009521045441e+01 2.141022209721600333e+01 1.174319221897929674e+04 8.123486328125000266e-01
1.519327656878831476e+02 7.981960939985353320e+01 5.566485499336117937e+04 8.327690429687499840e-01
1.021678672558480514e+02 1.913017987469063286e+01 1.904473173397955907e+04 9.234078979492187367e-01
1.018599265450865374e+02 6.952297875506005198e+01 3.978516194211281254e+04 6.907265014648437118e-01
1.227335986508925458e+02 5.988296592266932095e+01 3.309433254161911464e+04 8.796215209960936976e-01
2.966657711058525138e+02 2.352622961466446441e+02 5.561599081089916581e+04 9.247770385742187793e-01
4.238547339999851715e+01 3.746863877835497192e+01 1.557678586160839586e+03 2.813159790039062580e-01
2.101409212151216934e+02 1.296375319607628853e+02 2.276055781828187173e+04 9.479787597656249565e-01
4.840545246194652691e+02 3.974168139275035401e+02 6.675983712298481259e+04 9.806437988281250240e-01
1.559542608636965042e+02 1.279584070215166918e+02 2.085147737195935406e+04 9.670699462890625098e-01
1.096789756840724124e+02 8.953132827056930410e+01 2.367928613988087091e+04 7.287272949218750462e-01
1.556679384441779064e+02 1.151034776050802577e+02 5.228623927948091296e+04 7.835946044921875409e-01
3.604275768051178375e+02 2.880513218792582961e+02 8.076633308756767656e+04 9.234887084960937687e-01
